#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-09-23T23:24:39 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-09-23T23:24:39	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/A+A/655/A99&tab:{J/A+A/655/A99/table}&key:source=J/A+A/655/A99&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/655/A99/table
#-order=I
#-out=Star
#-out=Teff
#-out=logg
#-out=[Fe/H]
#-out=S/N
#-out=[C/Fe]
#-out=e_[C/Fe]
#-out=[O1/Fe]
#-out=e_[O1/Fe]
#-out=[O2/Fe]
#-out=e_[O2/Fe]
#-out=[C/O1]
#-out=[C/O2]
#-out=planet
#-out=pop
#-out=SimbadName
#-out=_RA
#-out=_DE
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=9999	

#RESOURCE=yCat_36550099
#Name: J/A+A/655/A99
#Title: Chemical abundances of 762 FGK stars (Delgado Mena+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/655/a99	
#INFO	publisher=CDS	
#INFO	creator=Delgado Mena E.	
#INFO	related_resource=bibcode:2021A&A...655A..99D	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/655/A99	
#INFO	publication_id=doi:10.26093/cds/vizier.36550099	
#INFO	publication_date=2022-09-21	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_655_A99_table:
#Name: J/A+A/655/A99/table
#Title: Abundance ratios, errors, planet presence
#Column	Star	(a10)	Star's identifier	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	Effective Temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	Surface gravity	[ucd=phys.gravity]
#Column	[Fe/H]	(F5.2)	Iron abundance	[ucd=phys.abund.Fe]
#Column	S/N	(I4)	Signal to noise ratio	[ucd=stat.snr]
#Column	[C/Fe]	(F6.3)	? Abundance [C/Fe]	[ucd=phys.abund]
#Column	e_[C/Fe]	(F6.3)	? Error of [C/Fe]	[ucd=stat.error;phys.abund]
#Column	[O1/Fe]	(F6.3)	? Abundance [O/Fe] from 6158{AA} line	[ucd=phys.abund]
#Column	e_[O1/Fe]	(F6.3)	? Error of [O/Fe] from 6158{AA} line	[ucd=stat.error;phys.abund]
#Column	[O2/Fe]	(F6.3)	? Abundance [O/Fe] from 6300{AA} line	[ucd=phys.abund]
#Column	e_[O2/Fe]	(F6.3)	? Error of [O/Fe] from 6300{AA} line	[ucd=stat.error;phys.abund]
#Column	[C/O1]	(F6.3)	? Ratio [C/O] using 6158{AA} line	[ucd=phys.abund]
#Column	[C/O2]	(F6.3)	? Ratio [C/O] using 6300{AA} line	[ucd=phys.abund]
#Column	planet	(A4)	Type of the most massive planet present (jup, nept or non)	[ucd=src.class]
#Column	pop	(A5)	Galactic population (thick, thin, halo or hamr)	[ucd=meta.code]
#Column	SimbadName	(a10)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Star	Teff	logg	[Fe/H]	S/N	[C/Fe]	e_[C/Fe]	[O1/Fe]	e_[O1/Fe]	[O2/Fe]	e_[O2/Fe]	[C/O1]	[C/O2]	planet	pop	SimbadName	_RA	_DE
HD48115   	5825	 4.43	-0.19	 351	-0.102	 0.028	 0.036	 0.142	-0.021	 0.147	-0.138	-0.081	non 	thin 	HD48115   	099.50209	-59.77343
HD79601   	5825	 4.27	-0.59	 535	 0.221	 0.025	 0.456	 0.102	 0.516	 0.055	-0.235	-0.295	non 	thick	HD79601   	138.43595	-42.31041
HD150437  	5826	 4.24	 0.30	 127	-0.062	 0.044	-0.295	 0.210	-0.042	 0.171	 0.233	-0.020	non 	thin 	HD150437  	250.53045	-29.12499
HD208704  	5826	 4.33	-0.09	 396	-0.020	 0.033	 0.049	 0.097	 0.125	 0.080	-0.069	-0.145	non 	thin 	HD208704  	329.60136	-12.66466
HD154962  	5827	 4.12	 0.32	 604	-0.053	 0.021	-0.014	 0.041	-0.030	 0.045	-0.039	-0.023	non 	thin 	HD154962  	257.22717	-03.88300
HD62128   	5828	 4.17	 0.33	 418	-0.104	 0.020	 0.000	 0.051	      	      	-0.104	      	non 	thin 	HD62128   	115.50824	-11.85269
HD114561  	5829	 4.45	-0.07	 130	-0.034	 0.017	      	      	 0.009	 0.270	      	-0.043	non 	thin 	HD114561  	197.93816	-35.61871
HD4021    	5831	 4.66	 0.02	 134	-0.162	 0.051	      	      	 0.006	 0.276	      	-0.168	non 	thin 	HD4021    	010.65023	-16.70322
HD129191  	5832	 4.34	 0.24	 211	-0.070	 0.022	-0.060	 0.110	 0.000	 0.120	-0.010	-0.070	non 	thin 	HD129191  	220.31742	-04.94487
HD96116   	5832	 4.47	-0.01	 157	-0.079	 0.028	      	      	-0.024	 0.235	      	-0.055	non 	thin 	HD96116   	166.05688	-57.76513
HD78612   	5834	 4.21	-0.24	 607	 0.067	 0.011	 0.151	 0.079	      	      	-0.084	      	non 	thin 	HD78612   	137.20745	-10.75751
HD167300  	5837	 4.24	-0.45	 255	 0.123	 0.023	 0.355	 0.163	 0.417	 0.109	-0.232	-0.294	non 	thick	HD167300  	274.68573	-61.93524
HD16784   	5837	 4.28	-0.65	 232	 0.276	 0.019	 0.440	 0.227	 0.580	 0.118	-0.164	-0.304	non 	thick	HD16784   	040.16157	-30.13540
HD44594   	5840	 4.32	 0.15	 693	-0.063	 0.011	-0.036	 0.051	-0.072	 0.056	-0.027	 0.009	non 	thin 	HD44594   	095.02556	-48.74109
HD16417   	5841	 4.10	 0.13	 995	-0.091	 0.013	-0.034	 0.033	-0.013	 0.050	-0.057	-0.078	nept	thin 	HD16417   	039.24420	-34.57798
HD201422  	5841	 4.57	-0.16	  81	-0.095	 0.029	      	      	      	      	      	      	non 	thin 	HD201422  	317.53303	-24.82311
HD223171  	5841	 4.14	 0.12	1581	-0.032	 0.013	-0.001	 0.048	 0.045	 0.024	-0.031	-0.077	non 	thin 	HD223171  	356.83678	-48.27559
HD13578   	5842	 4.12	-0.03	 166	 0.031	 0.021	-0.063	 0.199	 0.153	 0.130	 0.094	-0.122	non 	thin 	HD13578   	032.53430	-64.35508
HD114729  	5844	 4.13	-0.28	 977	 0.057	 0.011	 0.194	 0.052	 0.257	 0.035	-0.137	-0.200	jup 	thin 	HD114729  	198.18441	-31.87335
HD96700   	5845	 4.33	-0.18	 860	 0.011	 0.029	 0.045	 0.060	 0.080	 0.053	-0.034	-0.069	nept	thin 	HD96700   	166.97678	-30.17457
HD189625  	5846	 4.37	 0.18	 720	-0.117	 0.025	-0.172	 0.052	      	      	 0.055	      	non 	thin 	HD189625  	300.38667	-16.86900
HD198075  	5846	 4.50	-0.24	 223	-0.097	 0.022	 0.153	 0.190	 0.165	 0.172	-0.250	-0.262	non 	thin 	HD198075  	312.06329	-12.45430
HD3220    	5846	 4.45	-0.22	 341	-0.049	 0.042	 0.005	 0.156	 0.032	 0.141	-0.054	-0.081	non 	thin 	HD3220    	008.76200	-48.93455
HD221420  	5847	 3.97	 0.33	1621	-0.092	 0.018	-0.047	 0.034	-0.099	 0.020	-0.045	 0.007	non 	thin 	HD221420  	353.33158	-77.38533
HD221343  	5848	 4.48	 0.11	 123	-0.119	 0.039	-0.012	 0.208	-0.053	 0.261	-0.107	-0.066	non 	thin 	HD221343  	352.93443	-53.76995
HD34449   	5848	 4.44	-0.09	 320	-0.060	 0.018	 0.025	 0.126	 0.130	 0.107	-0.085	-0.190	non 	thin 	HD34449   	072.63853	-85.37517
HD51754   	5848	 4.43	-0.55	 462	 0.179	 0.029	 0.598	 0.088	 0.602	 0.067	-0.419	-0.423	non 	thick	HD51754   	104.66058	-00.48047
HD151933  	5849	 4.23	-0.21	 127	 0.018	 0.017	 0.319	 0.198	 0.159	 0.221	-0.301	-0.141	non 	thin 	HD151933  	253.28382	-51.71790
HD110668  	5850	 4.39	 0.17	 106	-0.013	 0.036	      	      	 0.042	 0.219	      	-0.055	non 	thin 	HD110668  	190.99318	-35.12311
HD161555  	5850	 4.09	 0.12	 131	-0.014	 0.037	 0.000	 0.169	      	      	-0.014	      	non 	thin 	HD161555  	266.63250	-07.98566
HD211415  	5850	 4.33	-0.21	 301	-0.013	 0.014	-0.028	 0.166	 0.073	 0.140	 0.015	-0.086	non 	thin 	HD211415  	334.56506	-53.62707
HD200633  	5853	 4.45	 0.05	  83	-0.087	 0.029	 0.070	 0.280	 0.128	 0.279	-0.157	-0.215	non 	thin 	HD200633  	316.18395	-04.82890
HD209449  	5854	 4.10	 0.41	 245	-0.082	 0.029	-0.017	 0.068	-0.106	 0.090	-0.065	 0.024	non 	thin 	HD209449  	331.09435	-38.87632
HD147513  	5858	 4.44	 0.03	1097	-0.165	 0.014	      	      	      	      	      	      	jup 	thin 	HD147513  	246.00538	-39.19298
HD177758  	5862	 4.35	-0.58	 282	 0.219	 0.015	 0.598	 0.133	 0.401	 0.129	-0.379	-0.182	non 	thick	HD177758  	286.60550	-11.89741
HD14868   	5864	 4.38	 0.02	  86	-0.245	 0.017	      	      	-0.033	 0.341	      	-0.212	non 	thin 	HD14868   	035.79655	-29.03668
HD134664  	5865	 4.46	 0.10	 381	-0.139	 0.014	 0.056	 0.074	 0.001	 0.100	-0.195	-0.140	non 	thin 	HD134664  	228.04314	-30.88629
HD20407   	5866	 4.44	-0.44	 544	 0.108	 0.019	 0.313	 0.098	 0.258	 0.087	-0.205	-0.150	non 	thin 	HD20407   	048.77663	-45.66482
HD20807   	5866	 4.46	-0.23	1473	 0.019	 0.022	 0.042	 0.054	 0.115	 0.045	-0.023	-0.096	non 	thin 	HD20807   	049.55341	-62.50637
HD124785  	5867	 4.14	-0.56	 397	 0.241	 0.024	 0.445	 0.111	      	      	-0.204	      	non 	thick	HD124785  	214.23916	-50.28136
HD13724   	5868	 4.46	 0.23	 808	-0.125	 0.020	-0.127	 0.044	-0.048	 0.054	 0.002	-0.077	non 	thin 	HD13724   	033.08616	-46.81638
HD45184   	5869	 4.41	 0.04	1487	-0.073	 0.011	-0.060	 0.046	-0.033	 0.053	-0.013	-0.040	nept	thin 	HD45184   	096.18283	-28.78012
HD165131  	5870	 4.39	 0.06	 196	-0.021	 0.015	 0.091	 0.125	      	      	-0.112	      	non 	thin 	HD165131  	271.34469	-21.67317
HD141624  	5871	 4.34	-0.38	  80	 0.133	 0.053	      	      	      	      	      	      	non 	thin 	HD141624  	238.34549	-61.36319
HD27471   	5871	 4.19	 0.11	 123	-0.030	 0.054	 0.079	 0.162	 0.186	 0.140	-0.109	-0.216	non 	thin 	HD27471   	064.50060	-45.65106
HD38277   	5871	 4.28	-0.07	 468	-0.007	 0.009	 0.048	 0.076	 0.109	 0.069	-0.055	-0.116	non 	thin 	HD38277   	086.07332	-10.01673
HD129229  	5872	 3.83	-0.42	 225	-0.013	 0.041	 0.232	 0.167	 0.314	 0.100	-0.245	-0.327	non 	thin 	HD129229  	220.32837	+03.44877
HD221146  	5876	 4.20	 0.08	 571	-0.010	 0.026	 0.004	 0.059	-0.148	 0.077	-0.014	 0.138	non 	thin 	HD221146  	352.37632	-01.03590
HD17865   	5877	 4.25	-0.57	 567	 0.210	 0.028	 0.484	 0.085	 0.383	 0.072	-0.274	-0.173	non 	thick	HD17865   	042.67259	-44.08130
HD88218   	5878	 4.09	-0.14	 235	 0.035	 0.030	 0.035	 0.141	 0.119	 0.121	 0.000	-0.084	non 	thin 	HD88218   	152.38237	-35.85678
HD81700   	5882	 4.46	 0.12	 120	-0.118	 0.032	      	      	 0.038	 0.227	      	-0.156	non 	thin 	HD81700   	141.09562	-63.71835
HD34327   	5883	 4.13	-0.06	 150	-0.043	 0.021	-0.180	 0.247	 0.128	 0.157	 0.137	-0.171	non 	thin 	HD34327   	078.36626	-55.56890
HD97037   	5883	 4.27	-0.07	 299	-0.035	 0.011	 0.058	 0.111	 0.072	 0.114	-0.093	-0.107	non 	thin 	HD97037   	167.55560	-07.38940
HD22879   	5884	 4.45	-0.82	1247	 0.202	 0.024	 0.789	 0.048	      	      	-0.587	      	non 	thick	HD22879   	055.09194	-03.21698
HD75745   	5885	 4.22	-0.78	 270	 0.089	 0.072	 0.407	 0.241	      	      	-0.318	      	non 	thick	HD75745   	132.39983	-52.47650
HD109409  	5886	 4.09	 0.33	 597	-0.103	 0.033	-0.067	 0.051	-0.041	 0.047	-0.036	-0.062	non 	thin 	HD109409  	188.67664	-44.67302
HD220456  	5887	 4.43	-0.02	 171	-0.103	 0.029	-0.005	 0.183	 0.096	 0.175	-0.098	-0.199	non 	thin 	HD220456  	351.01459	-34.30028
HD109098  	5888	 4.07	 0.06	 166	-0.045	 0.011	 0.085	 0.128	 0.087	 0.127	-0.130	-0.132	non 	thin 	HD109098  	188.01854	-01.77236
HD117105  	5889	 4.34	-0.29	 467	 0.033	 0.022	 0.147	 0.101	 0.235	 0.078	-0.114	-0.202	non 	thin 	HD117105  	202.12730	-27.39185
HD218340  	5889	 4.35	 0.09	 103	-0.113	 0.026	      	      	-0.036	 0.275	      	-0.077	non 	thin 	HD218340  	347.05154	-63.62816
HD67458   	5891	 4.46	-0.16	 926	-0.079	 0.009	-0.010	 0.063	 0.144	 0.051	-0.069	-0.223	non 	thin 	HD67458   	121.75218	-29.40294
HD156079  	5892	 4.17	 0.28	 279	-0.040	 0.015	-0.084	 0.075	 0.160	 0.065	 0.044	-0.200	non 	thin 	HD156079  	259.09956	-21.85795
HD141937  	5893	 4.38	 0.13	 263	-0.090	 0.026	-0.123	 0.113	-0.115	 0.146	 0.033	 0.025	jup 	thin 	HD141937  	238.07312	-18.43605
HD222669  	5894	 4.39	 0.05	 938	-0.076	 0.011	-0.041	 0.041	-0.030	 0.051	-0.035	-0.046	non 	thin 	HD222669  	355.98901	-82.50850
HD224817  	5894	 4.29	-0.53	 559	 0.147	 0.018	 0.434	 0.085	 0.474	 0.057	-0.287	-0.327	non 	thick	HD224817  	000.24283	-11.82374
HD31532   	5896	 4.00	-0.08	 179	-0.108	 0.067	-0.046	 0.171	 0.349	 0.086	-0.062	-0.457	non 	thin 	HD31532   	072.83655	-68.06965
HD177409  	5898	 4.42	-0.04	 533	-0.112	 0.009	 0.020	 0.067	-0.045	 0.090	-0.132	-0.067	non 	thin 	HD177409  	287.47731	-68.29969
HD31527   	5898	 4.38	-0.17	 435	-0.018	 0.010	 0.051	 0.093	-0.004	 0.109	-0.069	-0.014	nept	thin 	HD31527   	073.90993	-23.24188
HD25912   	5900	 4.45	 0.12	 116	-0.241	 0.051	-0.221	 0.272	-0.077	 0.281	-0.020	-0.164	non 	thin 	HD25912   	060.90798	-51.93084
HD131664  	5901	 4.43	 0.31	 434	-0.106	 0.019	-0.154	 0.058	-0.171	 0.094	 0.048	 0.065	jup 	thin 	HD131664  	225.02533	-73.53534
HD564     	5902	 4.46	-0.20	 401	-0.012	 0.010	 0.063	 0.114	 0.101	 0.112	-0.075	-0.113	jup 	thin 	HD564     	002.47009	-50.26782
HD83529   	5902	 4.28	-0.22	 627	-0.040	 0.009	 0.017	 0.076	 0.112	 0.063	-0.057	-0.152	non 	thin 	HD83529   	144.36941	-49.99093
HD126793  	5904	 4.36	-0.71	 276	 0.209	 0.022	 0.630	 0.153	 0.564	 0.120	-0.421	-0.355	non 	thick	HD126793  	217.55274	-62.86235
HD105837  	5907	 4.47	-0.51	 394	 0.098	 0.052	-0.019	 0.248	 0.265	 0.128	 0.117	-0.167	non 	thin 	HD105837  	182.74139	-46.32198
HD148816  	5908	 4.32	-0.71	 413	 0.252	 0.020	 0.597	 0.119	 0.497	 0.100	-0.345	-0.245	non 	thick	HD148816  	247.61858	+04.17822
HD156411  	5910	 3.92	-0.11	 659	-0.068	 0.011	 0.000	 0.051	      	      	-0.068	      	jup 	thin 	HD156411  	259.96417	-48.54932
HD32804   	5910	 4.46	 0.06	 281	-0.215	 0.024	-0.265	 0.152	-0.046	 0.139	 0.050	-0.169	non 	thin 	HD32804   	075.96971	-40.60779
HD10180   	5911	 4.32	 0.08	1677	-0.011	 0.015	-0.072	 0.029	 0.009	 0.032	 0.061	-0.020	jup 	thin 	HD10180   	024.47324	-60.51152
HD82114   	5912	 4.13	 0.01	 132	-0.060	 0.021	 0.024	 0.178	 0.047	 0.186	-0.084	-0.107	non 	thin 	HD82114   	140.85338	-77.89052
HD90081   	5912	 4.27	-0.20	  89	-0.015	 0.035	 0.138	 0.313	 0.111	 0.313	-0.153	-0.126	non 	thin 	HD90081   	155.89428	-12.48664
HD125612  	5913	 4.36	 0.24	 482	-0.206	 0.014	-0.111	 0.053	 0.054	 0.056	-0.095	-0.260	jup 	thin 	HD125612  	215.22299	-17.48152
HD361     	5913	 4.53	-0.12	 662	-0.068	 0.012	 0.064	 0.063	 0.108	 0.069	-0.132	-0.176	non 	thin 	HD361     	002.06817	-14.82449
HD98284   	5913	 4.45	-0.84	 160	 0.143	 0.071	      	      	 0.745	 0.187	      	-0.602	non 	thick	HD98284   	169.49242	-36.59660
HD144585  	5914	 4.27	 0.33	 871	-0.152	 0.019	-0.072	 0.036	-0.002	 0.044	-0.080	-0.150	non 	thin 	HD144585  	241.76404	-14.07130
HD208     	5914	 4.39	-0.31	 465	 0.023	 0.016	 0.184	 0.097	 0.155	 0.099	-0.161	-0.132	non 	thin 	HD208     	001.72450	-03.62626
HD38510   	5914	 4.24	-0.81	 191	 0.247	 0.053	 0.590	 0.250	 0.522	 0.191	-0.343	-0.275	non 	thick	HD38510   	086.29027	-26.99179
HD55693   	5914	 4.35	 0.29	 927	-0.064	 0.050	-0.049	 0.037	      	      	-0.015	      	non 	thin 	HD55693   	108.26114	-24.22557
HD74957   	5915	 4.46	-0.18	 146	-0.052	 0.031	      	      	 0.249	 0.192	      	-0.301	non 	thin 	HD74957   	131.10021	-57.76911
HD217395  	5916	 4.44	-0.13	 241	-0.025	 0.013	 0.112	 0.137	-0.081	 0.214	-0.137	 0.056	non 	thin 	HD217395  	345.20073	-39.89495
HD36108   	5916	 4.25	-0.21	 497	-0.003	 0.018	 0.126	 0.082	 0.183	 0.072	-0.129	-0.186	non 	thin 	HD36108   	082.08762	-22.43392
HD196050  	5917	 4.24	 0.23	1193	-0.028	 0.016	 0.041	 0.047	      	      	-0.069	      	jup 	thin 	HD196050  	309.46546	-60.63449
HD109310  	5922	 4.47	-0.51	 434	 0.061	 0.026	      	      	 0.167	 0.138	      	-0.106	non 	thin 	HD109310  	188.45443	-23.51575
HD21161   	5923	 4.16	 0.09	 108	-0.035	 0.067	 0.061	 0.178	 0.111	 0.185	-0.096	-0.146	non 	thin 	HD21161   	051.10306	-15.65384
HD123651  	5926	 4.47	-0.48	 116	 0.004	 0.040	 0.358	 0.316	 0.189	 0.359	-0.354	-0.185	non 	thin 	HD123651  	212.52005	-46.26945
HD199190  	5926	 4.18	 0.15	1222	-0.011	 0.012	 0.027	 0.027	      	      	-0.038	      	non 	thin 	HD199190  	315.02415	-69.57943
HD72659   	5926	 4.16	-0.02	 331	-0.025	 0.020	 0.086	 0.080	-0.013	 0.107	-0.111	-0.012	jup 	thin 	HD72659   	128.51329	-01.56822
HD199289  	5928	 4.56	-0.98	 201	 0.131	 0.023	      	      	 0.774	 0.186	      	-0.643	non 	thick	HD199289  	314.53552	-48.20374
HD90936   	5928	 4.40	 0.03	 134	-0.048	 0.022	-0.028	 0.201	 0.033	 0.223	-0.020	-0.081	non 	thin 	HD90936   	157.38929	-18.24389
HD21977   	5930	 4.37	 0.10	 109	-0.036	 0.073	 0.160	 0.164	 0.139	 0.197	-0.196	-0.175	non 	thin 	HD21977   	053.10795	-04.36109
HD68284   	5933	 4.00	-0.50	 371	 0.049	 0.032	 0.360	 0.107	      	      	-0.311	      	non 	thin 	HD68284   	122.95661	+04.27454
HD156991  	5934	 4.49	-0.07	  96	-0.086	 0.066	      	      	      	      	      	      	non 	thin 	HD156991  	260.38172	-22.92593
HD86652   	5934	 4.39	 0.13	 122	-0.059	 0.039	-0.101	 0.201	 0.062	 0.202	 0.042	-0.121	non 	thin 	HD86652   	149.78331	-33.51712
HD207129  	5937	 4.41	 0.00	2013	-0.109	 0.012	-0.039	 0.033	-0.007	 0.041	-0.070	-0.102	non 	thin 	HD207129  	327.06563	-47.30362
HD218379  	5938	 4.03	 0.15	 302	-0.050	 0.015	-0.070	 0.076	 0.082	 0.069	 0.020	-0.132	non 	thin 	HD218379  	347.15241	-63.87158
HD116410  	5939	 4.35	 0.23	 153	-0.131	 0.040	-0.205	 0.157	 0.069	 0.141	 0.074	-0.200	non 	thin 	HD116410  	200.92174	-15.11802
HD7134    	5940	 4.33	-0.29	 585	 0.004	 0.010	 0.088	 0.090	 0.281	 0.062	-0.084	-0.277	non 	thin 	HD7134    	017.88367	-12.84308
HD25704   	5942	 4.44	-0.83	 458	 0.203	 0.019	 0.544	 0.151	 0.669	 0.086	-0.341	-0.466	non 	thick	HD25704   	060.43597	-57.20683
HD65907A  	5945	 4.44	-0.31	1120	 0.209	 0.029	 0.426	 0.046	 0.353	 0.042	-0.217	-0.144	non 	thick	HD65907A  	119.44548	-60.30307
HD65982   	5947	 4.34	-0.10	 152	-0.007	 0.038	-0.147	 0.256	 0.034	 0.223	 0.140	-0.041	non 	thin 	HD65982   	119.90670	-43.29893
HD148211  	5948	 4.28	-0.62	 779	 0.171	 0.021	 0.427	 0.065	 0.563	 0.049	-0.256	-0.392	non 	thick	HD148211  	246.80375	-22.12680
HD37548   	5950	 4.18	-0.04	 109	-0.045	 0.022	      	      	 0.112	 0.211	      	-0.157	non 	thin 	HD37548   	084.65778	-16.91929
HD93932   	5950	 4.22	 0.05	 149	 0.036	 0.022	-0.094	 0.173	 0.057	 0.170	 0.130	-0.021	non 	thin 	HD93932   	162.60630	-15.10419
HD210752  	5951	 4.45	-0.58	 616	 0.060	 0.022	 0.163	 0.131	      	      	-0.103	      	non 	thin 	HD210752  	333.18141	-06.46892
HD23030   	5951	 4.29	 0.20	  56	-0.027	 0.050	      	      	 0.058	 0.324	      	-0.085	non 	thin 	HD23030   	055.42269	-02.84750
HD104760A 	5953	 4.34	 0.12	 122	-0.064	 0.015	-0.210	 0.228	 0.009	 0.216	 0.146	-0.073	non 	thin 	HD104760  	180.94289	-44.12281
HD16382   	5953	 4.41	 0.03	 125	-0.041	 0.055	 0.005	 0.195	 0.078	 0.224	-0.046	-0.119	non 	thin 	HD16382   	038.27572	-72.44390
HD1388    	5954	 4.32	-0.01	 794	-0.083	 0.008	 0.028	 0.046	 0.079	 0.052	-0.111	-0.162	non 	thin 	HD1388    	004.49529	-13.45564
HD143638  	5954	 4.39	-0.27	 239	-0.007	 0.013	 0.119	 0.165	      	      	-0.126	      	non 	thin 	HD143638  	240.97325	-50.94272
HD9608    	5954	 4.34	-0.26	 157	-0.078	 0.018	      	      	 0.138	 0.229	      	-0.216	non 	thin 	HD9608    	023.31710	-47.30607
HD145666  	5958	 4.44	-0.04	 667	-0.095	 0.010	-0.008	 0.055	-0.040	 0.078	-0.087	-0.055	non 	thin 	HD145666  	243.76733	-56.37454
CD-4512460	5960	 4.33	-0.86	  81	 0.070	 0.042	      	      	      	      	      	      	non 	thick	CD-4512460	276.25769	-45.47983
HD154195A 	5961	 4.39	-0.19	 182	-0.045	 0.024	 0.099	 0.183	      	      	-0.144	      	non 	thin 	HD154195  	256.34359	-33.77035
HD69655   	5961	 4.35	-0.18	 708	-0.011	 0.012	 0.034	 0.065	-0.014	 0.084	-0.045	 0.003	non 	thin 	HD69655   	123.85506	-52.06030
HD218504  	5962	 4.25	-0.55	 556	 0.124	 0.018	 0.525	 0.067	 0.674	 0.046	-0.401	-0.550	non 	thin 	HD218504  	347.17879	-18.75195
HD59984   	5962	 4.09	-0.69	1774	 0.143	 0.020	 0.272	 0.047	      	      	-0.129	      	non 	thin 	HD59984   	113.02401	-08.88133
HD84305   	5963	 4.42	-0.23	 117	-0.054	 0.051	      	      	 0.245	 0.241	      	-0.299	non 	thin 	HD84305   	145.77172	-43.27229
HD211317  	5965	 4.21	 0.27	 159	-0.087	 0.026	-0.054	 0.111	 0.011	 0.136	-0.033	-0.098	non 	thin 	HD211317  	334.70691	-68.31310
HD68978A  	5965	 4.39	 0.04	1148	-0.070	 0.016	-0.022	 0.037	-0.084	 0.045	-0.048	 0.014	non 	thin 	HD68978   	123.39374	-31.73538
HD134060  	5966	 4.34	 0.14	 651	-0.094	 0.016	 0.020	 0.042	 0.050	 0.056	-0.114	-0.144	jup 	thin 	HD134060  	227.68643	-61.42232
HD217786  	5966	 4.26	-0.14	 165	 0.037	 0.042	-0.089	 0.219	 0.149	 0.176	 0.126	-0.112	jup 	thin 	HD217786  	345.78420	-00.42963
HD150139  	5968	 4.20	-0.51	 243	 0.039	 0.019	 0.182	 0.199	      	      	-0.143	      	non 	thin 	HD150139  	251.36196	-71.83982
HD217958  	5970	 4.36	 0.28	  40	-0.034	 0.054	      	      	      	      	      	      	non 	thin 	HD217958  	346.13696	-25.69111
HD199960  	5973	 4.30	 0.28	 363	-0.070	 0.045	 0.006	 0.053	 0.053	 0.071	-0.076	-0.123	non 	thin 	HD199960  	315.14100	-04.73026
HD54521   	5973	 4.45	-0.01	 123	-0.126	 0.032	 0.132	 0.179	 0.091	 0.237	-0.258	-0.217	non 	thin 	HD54521   	107.00748	-27.75677
HD201496  	5974	 4.35	-0.04	  95	-0.023	 0.037	 0.138	 0.223	      	      	-0.161	      	non 	thin 	HD201496  	317.66946	-23.31153
CD-571633 	5975	 4.37	-0.85	 202	-0.089	 0.044	      	      	      	      	      	      	non 	halo 	CD-571633 	106.62063	-57.45809
HD1581    	5977	 4.42	-0.18	1120	-0.050	 0.017	 0.107	 0.035	 0.103	 0.044	-0.157	-0.153	non 	thin 	HD1581    	005.01775	-64.87479
HD93385   	5977	 4.33	 0.02	 625	-0.057	 0.012	-0.015	 0.054	 0.099	 0.059	-0.042	-0.156	nept	thin 	HD93385   	161.56298	-41.46437
HD193193  	5979	 4.31	-0.05	 692	-0.004	 0.012	 0.044	 0.047	 0.209	 0.043	-0.048	-0.213	non 	thin 	HD193193  	304.93827	-25.22860
HD23079   	5980	 4.39	-0.12	1126	-0.049	 0.009	-0.056	 0.041	 0.033	 0.045	 0.007	-0.082	jup 	thin 	HD23079   	054.92957	-52.91584
HD88742   	5981	 4.43	-0.02	1247	-0.040	 0.013	-0.009	 0.041	 0.103	 0.035	-0.031	-0.143	non 	thin 	HD88742   	153.35304	-33.03172
HD122862  	5982	 4.14	-0.12	1338	 0.010	 0.009	 0.086	 0.037	 0.151	 0.037	-0.076	-0.141	non 	thin 	HD122862  	212.11318	-74.85029
HD213240  	5982	 4.18	 0.14	 320	-0.057	 0.016	-0.012	 0.066	 0.057	 0.077	-0.045	-0.114	jup 	thin 	HD213240  	337.75153	-49.43327
HD168871  	5983	 4.33	-0.09	 762	-0.005	 0.009	 0.014	 0.053	 0.074	 0.061	-0.019	-0.079	non 	thin 	HD168871  	276.13807	-49.65288
HD95542   	5984	 4.43	-0.04	 357	-0.146	 0.015	-0.065	 0.100	 0.039	 0.114	-0.081	-0.185	non 	thin 	HD95542   	165.07374	-66.55703
